ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|45243b65a2ecbaf474415140ba32159b|2023-09-13|01:11:30|1694542290|shopping_net|789.50|1|fraud_Gerlach Inc|46.491214|-96.064794
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|637eb44708781e5b1fcc5dfb0f93414a|2023-09-13|02:43:15|1694547795|misc_net|719.10|1|fraud_Herman, Treutel and Dickens|46.190963|-95.137265
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|a5065b0057be69cf482fe5a667ce6e28|2023-09-13|00:29:07|1694539747|misc_net|890.14|1|fraud_Parisian, Schiller and Altenwerth|44.871594|-95.516245
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|fdc0bc24ebe0d823ce732fbbef5c0e41|2023-09-13|03:00:22|1694548822|shopping_net|1008.83|1|fraud_Goyette Inc|45.783781|-95.981527
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|7f3b4551d616d0a56f34a384c57e66c5|2023-09-14|22:46:21|1694706381|food_dining|978.44|1|fraud_McKenzie-Huels|44.819194|-94.586145
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|d78185db082d02086b1cbdc22d89bad3|2023-09-14|23:26:13|1694708773|home|804.57|1|fraud_Schiller, Blanda and Johnson|46.415268|-95.132362
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|5695246e87122864ab930fecba4fda56|2023-09-14|15:32:45|1694680365|shopping_pos|96.14|1|fraud_Kuhn LLC|45.761160|-95.060811
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|4b31fb4cd0b7318aa7fee8c20940a351|2023-09-14|22:34:57|1694705697|personal_care|234.39|1|fraud_Becker, Harris and Harvey|45.288202|-95.948907
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|1e61201071316baaf83ca55e5d98c926|2023-09-14|23:53:50|1694710430|kids_pets|18.85|1|fraud_Bode-Rempel|46.002971|-94.602790
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|1437dddf665a05c1b8b659138a1108a4|2023-09-14|23:13:08|1694707988|shopping_pos|18.11|1|fraud_Swaniawski, Lowe and Robel|46.567802|-96.210855
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|98e2260defa46ba66c1d78f273904600|2023-09-07|08:32:58|1694050378|grocery_pos|62.91|0|fraud_Murray-Smitham|45.231885|-96.012554
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|f3c88f7c8b66d5b771b52cafb82e7aec|2023-09-02|09:11:21|1693620681|gas_transport|67.70|0|fraud_Friesen-Stamm|45.297358|-95.192440
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|ad0855a2f6edb6786f8eed02d6c72dca|2023-09-02|00:47:21|1693590441|gas_transport|74.99|0|fraud_Kuvalis Ltd|45.029544|-95.615926
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|c3d463829b36db21d4c5830083e96b67|2023-09-07|00:38:52|1694021932|grocery_pos|56.93|0|fraud_Hackett-Lueilwitz|44.693904|-95.566820
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|20d1016de6ca2021a250cfdf896a4cc6|2023-09-09|07:20:17|1694218817|misc_net|82.15|0|fraud_Bednar Group|45.631606|-95.866770
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|c7d1bdddea88aed51acb67443b5f2930|2023-09-01|03:08:29|1693512509|gas_transport|48.08|0|fraud_Cummings LLC|45.287482|-94.763401
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json|929577af5561744dd4c87bfc63706c16|2023-09-08|04:19:10|1694121550|grocery_pos|53.56|0|fraud_Kiehn Inc|46.375635|-96.148712
