ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|d9d98c77ca08d5112c15c6c1a085cbb9|2023-09-23|00:52:30|1695405150|gas_transport|19.53|1|fraud_Eichmann, Bogan and Rodriguez|28.451090|-97.048997
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|7cd23053d5a481828db52d491187a47b|2023-09-23|03:00:59|1695412859|grocery_pos|346.93|1|fraud_Schoen, Kuphal and Nitzsche|29.406783|-97.801288
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|8bfbb7dcb23998e69121e72f623374ae|2023-09-23|02:31:17|1695411077|grocery_pos|328.64|1|fraud_Schultz, Simonis and Little|29.006074|-96.066399
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|ecadc16e880a755288692867f01852d0|2023-09-23|23:38:48|1695487128|misc_net|342.13|1|fraud_Rippin, Kub and Mann|28.145889|-96.914375
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|89335e0e233ac6bfad3cb3e4c01bfd8b|2023-09-23|13:45:07|1695451507|grocery_pos|350.50|1|fraud_Cartwright-Harris|28.773555|-97.796880
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|eb7f85c95c6eed492879d7e30a6cfcd9|2023-09-24|22:07:48|1695568068|shopping_net|966.07|1|fraud_Kihn, Abernathy and Douglas|28.770191|-97.077436
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|1c855bfee054cc5230230382dbd67be7|2023-09-23|22:33:21|1695483201|misc_net|813.07|1|fraud_Nader-Heller|27.776574|-97.617127
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|e446e28a78888fcc836d270997cdb144|2023-09-24|23:09:35|1695571775|shopping_net|758.60|1|fraud_Reichert, Shanahan and Hayes|28.568563|-97.214069
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|8b7f2b85170f169a6b8763ab1190eda1|2023-09-23|22:18:40|1695482320|grocery_pos|869.81|1|fraud_Schoen, Kuphal and Nitzsche|29.037822|-97.662964
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|df9b902853c9031fe4522243c06ef18d|2023-09-24|22:44:50|1695570290|misc_net|842.09|1|fraud_Kerluke PLC|28.858172|-96.489332
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|2fac3b12621bf432a2c3b9c767b02931|2023-09-02|10:26:49|1693625209|gas_transport|86.39|0|fraud_Brekke and Sons|27.959769|-96.407611
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|e6f46c55e22cd29134d5bcfdcadb577d|2023-09-01|10:38:06|1693539486|gas_transport|49.12|0|fraud_Torp-Labadie|28.617367|-97.625136
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|d9ede7f69efda0c97f2b357d06e0d30c|2023-09-02|01:18:19|1693592299|gas_transport|69.76|0|fraud_Sporer Inc|29.149002|-96.527200
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|bdca8eea4ae45ab5bb6e40cd9b3df2fc|2023-09-05|06:19:54|1693869594|grocery_pos|67.50|0|fraud_Miller-Hauck|29.084697|-96.901464
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|c4462073adef2acd6697d0fc56aee5db|2023-09-04|09:02:45|1693792965|grocery_pos|64.88|0|fraud_Lockman Ltd|27.718400|-96.576731
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|111bc8c6e836db85a36c9ceee704e65d|2023-09-06|01:04:16|1693937056|grocery_pos|62.72|0|fraud_O'Keefe-Hudson|28.740207|-96.426653
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|79209a993d49fcbdc1c63676ecf87412|2023-09-02|10:09:45|1693624185|gas_transport|87.65|0|fraud_Stroman, Hudson and Erdman|29.244333|-97.087630
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|1383dcc57036d0e95476d449cf45f457|2023-09-15|02:52:25|1694721145|shopping_pos|68.35|0|fraud_Pagac LLC|29.541304|-96.075554
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|5b61d18e9a8799bb41293ee55c7fb336|2023-09-02|08:52:27|1693619547|gas_transport|48.01|0|fraud_Bartoletti-Wunsch|29.024912|-96.619668
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|3c54c0faab32e760dbaf3e928ead08b1|2023-09-03|04:17:15|1693689435|gas_transport|52.16|0|fraud_Cummerata-Jones|27.849941|-97.146418
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|a43491ba120ec477fd047b92153d4d20|2023-09-11|00:45:16|1694367916|shopping_net|44.38|0|fraud_Kihn, Abernathy and Douglas|28.553000|-96.718624
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|15b89d7ed94f842d8d91262863dcf315|2023-09-05|09:32:07|1693881127|grocery_pos|60.00|0|fraud_Doyle Ltd|29.415192|-96.714736
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|43713f60c1453e2b4550ce9589621030|2023-09-09|08:59:34|1694224774|misc_net|123.29|0|fraud_Jones, Sawayn and Romaguera|29.156557|-96.902667
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|42b324a8fba2a9cf9dd129acdd51bc38|2023-09-03|06:23:44|1693697024|gas_transport|95.23|0|fraud_Heller-Langosh|28.988967|-96.445206
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|3da78dfb8ce0c9d2d36fbe7a11dcc6af|2023-09-02|09:25:54|1693621554|gas_transport|120.44|0|fraud_Bins-Rice|29.068050|-96.134303
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|499aba0a57e45e71071b22886c2cfbac|2023-09-12|10:56:11|1694490971|shopping_net|145.53|0|fraud_Romaguera, Cruickshank and Greenholt|28.539151|-96.545141
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|0ab2525c9c637b90743ebbaf6341dddd|2023-09-14|03:16:31|1694636191|shopping_pos|131.26|0|fraud_Turner and Sons|28.593686|-97.281525
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|caca51a74fe8879185d74b32ba51db92|2023-09-12|04:19:29|1694467169|shopping_net|141.05|0|fraud_Boyer PLC|28.151640|-96.502122
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|bc486fd009b6bdb873ff3e44632d641e|2023-09-11|06:39:42|1694389182|shopping_net|127.77|0|fraud_Langworth, Boehm and Gulgowski|28.424319|-96.220746
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|cfc7101a664d9d0a05e063cc19925fe3|2023-09-05|05:06:01|1693865161|grocery_pos|134.40|0|fraud_Bradtke PLC|29.325755|-95.914883
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|34f4bd8d3a87e8ec278460cdfcac7c07|2023-09-11|03:04:09|1694376249|shopping_net|3.09|0|fraud_Reichert, Rowe and Mraz|29.579885|-96.808404
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|fce068135b3e62116bc06a320cc22982|2023-09-08|03:27:05|1694118425|misc_net|6.55|0|fraud_Huel-Langworth|29.684245|-96.700599
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|2010600cc6f522fdc0161e78da65b3bb|2023-09-14|02:45:51|1694634351|shopping_pos|13.23|0|fraud_Bins, Balistreri and Beatty|29.144473|-96.044049
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|684e48d4274f66f92e78e792665d02a0|2023-09-13|08:42:47|1694569367|shopping_net|1.08|0|fraud_Heathcote, Yost and Kertzmann|29.535945|-95.983140
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|1a072008840a3b9d05bcff98b69679f4|2023-09-14|08:12:31|1694653951|shopping_pos|1.66|0|fraud_Willms, Kris and Bergnaum|28.293641|-97.528585
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|785f47961427209de8038a40357f1e4a|2023-09-10|00:56:57|1694282217|misc_pos|3.34|0|fraud_Buckridge PLC|29.082206|-97.066038
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|b815001e8205a37ffc752c6385e68fde|2023-09-03|00:34:54|1693676094|gas_transport|7.08|0|fraud_Lind, Huel and McClure|29.218162|-96.922529
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|94e355dafe61f2f926a0f4b5b14fc0fe|2023-09-09|00:09:12|1694192952|misc_net|2.33|0|fraud_Johnson, Runolfsdottir and Mayer|28.015949|-96.131880
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|709dae175189fc25c76c47ae052e299e|2023-09-09|08:30:22|1694223022|misc_net|8.41|0|fraud_Rippin, Kub and Mann|29.186110|-96.916722
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|6f78c64d390c6f1bd46e1eb6c880fef5|2023-09-12|00:50:11|1694454611|shopping_net|7.40|0|fraud_Volkman-Predovic|28.599305|-96.760977
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|df3321c228e449e9d44f979012ad90ec|2023-09-02|11:08:19|1693627699|gas_transport|7.11|0|fraud_Kutch LLC|29.500059|-96.557307
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|778df493c477cb0f5646c17d56cd0973|2023-09-06|03:32:00|1693945920|grocery_pos|34.14|0|fraud_Goodwin-Nitzsche|29.087956|-96.971435
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|81f8adc5eec9785e6b2ea2da827dafcd|2023-09-06|09:29:53|1693967393|grocery_pos|1.37|0|fraud_Kiehn-Emmerich|28.650234|-96.140892
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|023cabfbbcda71f517cf32a965f45ef2|2023-09-01|09:29:20|1693535360|gas_transport|4.47|0|fraud_Huels-Nolan|29.132280|-96.912658
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|14a77f835bd95aa350bbb88f4dec32ee|2023-09-01|07:26:51|1693528011|gas_transport|4.84|0|fraud_Eichmann, Bogan and Rodriguez|27.802026|-97.378939
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|6202e9d728157f8705d93af32ec6af9f|2023-09-13|07:21:59|1694564519|shopping_pos|7.27|0|fraud_Schuppe, Nolan and Hoeger|28.676715|-95.986173
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|afa31e378a9d7f8dc48f30670aef563e|2023-09-08|06:23:39|1694129019|misc_net|18.19|0|fraud_Hamill-Daugherty|28.547022|-97.342475
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|76b9558aa5fbed77567a7e37e1edae28|2023-09-05|02:41:38|1693856498|grocery_pos|1.07|0|fraud_Pacocha-O'Reilly|29.084792|-97.183576
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|45706a4e3670d50719402880f65c6edd|2023-09-18|14:28:57|1695022137|food_dining|77.00|0|fraud_Schumm, McLaughlin and Carter|27.909318|-96.276367
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|64efaca606a3aaaf2ee6bae404ef5095|2023-09-16|12:43:24|1694843004|entertainment|96.57|0|fraud_Douglas-White|28.299785|-97.770237
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|808fa3af2e443ad072f4688023250ff4|2023-09-16|20:29:57|1694870997|entertainment|19.89|0|fraud_Dare-Marvin|29.265465|-96.783732
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|e7210263fb38d458c97dc397a11570cf|2023-09-17|13:26:09|1694931969|entertainment|4.18|0|fraud_Reichel Inc|27.999114|-96.195082
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|dfa562cecbd1d58c03945e02dff7353b|2023-09-19|21:32:45|1695133965|food_dining|24.11|0|fraud_Langosh, Wintheiser and Hyatt|28.679980|-96.662904
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|16de7acb8823071f204e648a8872248d|2023-09-17|15:36:06|1694939766|entertainment|8.57|0|fraud_Wilkinson Ltd|27.924562|-97.380491
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|3d8ab0570c1d193bd6e39a347bf54b11|2023-09-17|18:39:36|1694950776|food_dining|134.45|0|fraud_McCullough, Hudson and Schuster|29.006921|-96.024847
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|678944fe9c9c03dde29ea06ad0073096|2023-09-16|14:58:19|1694851099|entertainment|77.96|0|fraud_Effertz, Welch and Schowalter|28.153674|-97.019949
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|9640703be442cabefaa60937d77ed954|2023-09-16|22:16:03|1694877363|entertainment|29.53|0|fraud_Kassulke Inc|28.976515|-97.687668
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|a5206af94a1a1cfa18bbf479081a6c7f|2023-09-17|14:22:45|1694935365|food_dining|6.04|0|fraud_Schneider, Hayes and Nikolaus|28.086670|-96.047528
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|ea5da7ad9534270f6cfa017f3ae114f9|2023-09-20|19:20:42|1695212442|health_fitness|8.98|0|fraud_Torphy-Kertzmann|28.026749|-97.710980
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|29cb1b9940d74b06b18996ddb62513c0|2023-09-22|15:33:30|1695371610|home|86.26|0|fraud_Ernser-Feest|28.707868|-96.149909
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|67fea16906d403e1aceeba1f3497d80d|2023-09-27|23:47:00|1695833220|kids_pets|92.67|0|fraud_Metz, Russel and Metz|29.165250|-96.829314
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|f44788d25206d3912b668232687b8d00|2023-09-30|12:55:03|1696053303|travel|111.70|0|fraud_Kilback, Nitzsche and Leffler|29.218707|-96.774359
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|6ea8d510ae226e16f20f2dc7d4ef90e7|2023-09-18|13:44:02|1695019442|food_dining|63.80|0|fraud_Langosh, Wintheiser and Hyatt|27.963227|-97.510641
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|eeca0c4688ee3efa68f2f36e87b0d289|2023-09-25|23:03:10|1695657790|kids_pets|50.06|0|fraud_Brown Inc|27.853162|-96.082814
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|900177fd7d5caf59ff46b3de7874ec72|2023-09-29|12:00:29|1695963629|personal_care|81.59|0|fraud_Bins-Howell|27.931536|-97.607734
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|34f468b932aa2879f2be692eeb22476e|2023-09-25|15:11:49|1695629509|kids_pets|8.90|0|fraud_Gleason and Sons|29.463318|-96.711039
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|0bd521747a6dea2c6ae756f027ff0903|2023-09-17|22:57:44|1694966264|entertainment|21.80|0|fraud_Klein Group|29.166819|-96.765600
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json|97edb98b1dd68d34116c505c53827aaf|2023-09-28|17:00:36|1695895236|personal_care|13.43|0|fraud_Hahn, Bahringer and McLaughlin|29.541685|-97.630132
