ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|a27e7540362d2bfdcda880f6d3d9e58c|2023-09-08|02:25:30|1694114730|grocery_pos|255.43|1|fraud_Bauch-Raynor|41.709934|-74.503537
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|9073fbdcb20f0757f80f4963741bc58b|2023-09-08|01:28:18|1694111298|grocery_pos|303.42|1|fraud_Kiehn-Emmerich|40.093651|-73.417503
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|1517e09052ef5cf43a4c9627fddcff42|2023-09-09|23:36:22|1694277382|shopping_net|743.79|1|fraud_Schmidt and Sons|41.256530|-73.863410
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|30746a16d2490cf0b5ba065616d59e16|2023-09-09|23:21:34|1694276494|misc_net|723.88|1|fraud_Kerluke, Kertzmann and Wiza|41.706232|-74.039428
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|9c8a1e351f91c4ea2bdb42a49f8c8c40|2023-09-09|22:19:41|1694272781|shopping_net|989.24|1|fraud_Stamm-Witting|40.445546|-73.795908
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|d0ed49ab385f98fee97139d9ccee16a9|2023-09-08|22:36:36|1694187396|misc_net|7.24|1|fraud_Stehr, Jewess and Schimmel|41.569792|-73.417204
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|297f888a6022638fce0db4290ee7f11e|2023-09-09|22:31:55|1694273515|misc_pos|990.79|1|fraud_Schmeler Inc|41.753982|-74.694525
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|3367c0f2030264a8dc7a648dbf47158f|2023-09-09|18:45:45|1694259945|misc_net|1160.98|1|fraud_Hayes, Marquardt and Dibbert|40.872870|-73.258743
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|d988cf6ecec92129d42f32c9c372d2e8|2023-09-09|23:23:18|1694276598|personal_care|990.26|1|fraud_Marvin-Lind|39.934402|-74.032236
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|9c53458811b2199b2b6937c3d7269d50|2023-09-09|23:29:55|1694276995|shopping_pos|19.47|1|fraud_Swaniawski, Lowe and Robel|41.014228|-72.862058
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json|f7d623ab940b776dd0f411f6c7bdf036|2023-09-02|04:18:21|1693603101|gas_transport|84.90|0|fraud_Olson, Becker and Koch|40.024252|-74.022730
