ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|84085df402eff124c12ba6328801386c|2023-09-03|02:24:17|1693682657|grocery_pos|301.84|1|fraud_Kiehn-Emmerich|32.346564|-97.645497
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|4080e5e5518dce1ea8617ef40b9088a7|2023-09-03|03:57:39|1693688259|grocery_pos|293.78|1|fraud_Heller, Gutmann and Zieme|33.637291|-97.770929
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|934f9f4868b83c588b4e479a623fe44d|2023-09-03|00:01:31|1693674091|grocery_pos|307.37|1|fraud_Miller-Hauck|32.147230|-97.120794
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|c95bfd59cbc89177a7a27a9634fb69a7|2023-09-03|01:57:52|1693681072|grocery_pos|310.15|1|fraud_Schamberger-O'Keefe|33.067968|-97.105372
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|293233d2bce7f543a602f906e24c929a|2023-09-03|22:59:46|1693756786|shopping_net|867.15|1|fraud_Zboncak, Rowe and Murazik|33.387263|-97.096648
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|cd0a8d08caf471ed9188f38c7c7ceb84|2023-09-03|22:22:50|1693754570|shopping_net|995.44|1|fraud_Altenwerth, Cartwright and Koss|32.733152|-97.536753
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|9b5dcaa62845dbf453021001c293d934|2023-09-04|22:04:21|1693839861|shopping_net|912.70|1|fraud_Stanton, Jakubowski and Baumbach|32.373082|-98.094938
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|29d2a232e2ff1f32b2f2c6c82c92e545|2023-09-03|17:48:25|1693738105|shopping_net|998.93|1|fraud_Cormier LLC|32.526807|-97.931745
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|a62738a621c7ccad2ddb8c6119351972|2023-09-03|22:31:22|1693755082|shopping_net|1040.35|1|fraud_Little, Gutmann and Lynch|33.696779|-97.247892
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json|b4dc6908286f6aaed18d9300835a2742|2023-09-09|09:49:45|1694227785|misc_pos|57.72|0|fraud_Nienow, Ankunding and Collier|31.887055|-97.255108
