ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|East Greenwich|RI|02818|41.6498|-71.474|18082|Accounting technician|1992-10-03|888022315787|adults_2550_male_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Riverside|CA|92503|33.9208|-117.4589|419138|Professor Emeritus|1986-06-07|917558277935|adults_2550_male_urban.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bedford|TX|76021|32.8536|-97.1358|46885|International aid/development worker|1959-05-30|718172762479|adults_50up_male_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|New Hope|PA|18938|40.3556|-74.9839|13989|Seismic interpreter|1977-12-26|947268892251|adults_2550_female_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|El Cajon|CA|92019|32.7777|-116.9191|165433|Medical laboratory scientific officer|1974-05-22|888335239225|adults_50up_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Great Neck|NY|11021|40.7867|-73.727|40672|Community arts worker|1934-06-18|245877882397|adults_50up_female_urban.json
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Cincinnati|OH|45245|39.0688|-84.2802|795220|Plant breeder/geneticist|1994-03-06|465378164447|adults_2550_female_urban.json
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Elkhorn|NE|68022|41.2756|-96.2431|16422|Quarry manager|1939-12-27|950105810049|adults_50up_female_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Utica|MI|48316|42.6885|-83.0548|78577|Retail buyer|1994-08-23|940251608167|adults_2550_male_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Mcallen|TX|78504|26.2556|-98.2303|131628|Acupuncturist|1989-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|Victoria|Roman|F|841 Joseph Coves|Aurora|CO|80017|39.6948|-104.7881|389246|Surgeon|1950-02-26|297020387114|adults_50up_female_urban.json
