ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|fca3416ddb9dbec064ff3b6346465f19|2023-09-18|02:38:19|1694979499|grocery_pos|10.34|1|fraud_Doyle Ltd|39.406244|-77.201995
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|1206a2bf7515cfff82a614af6b8d9c3c|2023-09-18|03:09:42|1694981382|gas_transport|9.34|1|fraud_Cummerata-Jones|39.031631|-76.210647
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|ca978e324a98c6dd88db771b4c42ba02|2023-09-18|00:39:14|1694972354|grocery_pos|10.46|1|fraud_Rowe, Batz and Goodwin|40.054140|-77.346306
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|200a0a670d1597af1f1abf1fd38f9eb5|2023-09-18|11:11:37|1695010297|gas_transport|10.46|1|fraud_Harber Inc|39.277687|-75.547441
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|317512f7b9ef8f2c416c1e64a5ad66dc|2023-09-18|01:35:50|1694975750|grocery_pos|288.53|1|fraud_Bogisich Inc|40.060688|-75.933141
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|82e29189a7af776a7a9e6073535b5481|2023-09-18|00:37:50|1694972270|grocery_pos|292.81|1|fraud_Auer-Mosciski|39.751955|-77.142287
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|be0d6ff0c2153ccb5369552d514761b0|2023-09-18|07:52:49|1694998369|gas_transport|291.42|1|fraud_Bernhard Inc|40.246378|-76.621163
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|f664fd37396a2637e8fcff014768de39|2023-09-18|01:39:47|1694975987|gas_transport|281.17|1|fraud_Ledner-Pfannerstill|40.450810|-77.312217
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|3b0f43025c149e6f08726f00e6f2fd01|2023-09-19|21:55:39|1695135339|shopping_net|814.03|1|fraud_Bashirian Group|39.430933|-76.284122
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|73c07dd639ecb8a463769288a2bb89fb|2023-09-19|22:35:51|1695137751|shopping_net|757.56|1|fraud_Hills-Witting|39.842045|-76.105832
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|14fa25c28180643143e87ee0d7467fbb|2023-09-18|20:10:41|1695042641|misc_net|928.06|1|fraud_Bogisich-Homenick|38.887280|-75.634762
727-02-3148|4868659279948125|Lisa|Gutierrez|F|8277 Ashlee Stream Suite 911|Hydes|MD|21082|39.474|-76.4695|654|Youth worker|2004-02-18|647462145575|young_adults_female_rural.json|6a0e616b6de4093dfcaff04bf9eef05d|2023-09-19|22:49:39|1695138579|shopping_net|1016.10|1|fraud_Kuhic, Bins and Pfeffer|39.709292|-75.903605
