ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|c2ad43a0ca05e9213e37b01149eb7e1a|2023-09-19|08:30:48|1695087048|grocery_net|10.12|1|fraud_Smitham-Boehm|32.015700|-90.295267
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|cafdff25c73c15f7b7789a930f99bd36|2023-09-19|00:27:55|1695058075|grocery_pos|11.05|1|fraud_Schoen, Kuphal and Nitzsche|32.230223|-90.461807
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|c53a1f0e58d489b0de514cd85d167869|2023-09-19|01:31:46|1695061906|grocery_net|292.03|1|fraud_Kutch-Hegmann|31.507870|-90.905544
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|6f06d77fc2e6cd775c06f3b92c5a72c8|2023-09-19|10:31:01|1695094261|misc_net|262.17|1|fraud_Ruecker Group|33.078420|-89.378633
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|c8d0bfe7e954be0fed9b5f88a06835d2|2023-09-19|03:32:08|1695069128|grocery_pos|717.62|1|fraud_Lockman Ltd|31.282274|-91.021611
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|f6ead30d67acb8c558e490f7071ee9f9|2023-09-20|23:44:08|1695228248|shopping_net|890.73|1|fraud_Terry-Huel|31.216310|-90.226881
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|881e80c9c6ab6a27ef1fbb566912680f|2023-09-20|22:50:49|1695225049|shopping_net|1283.63|1|fraud_Streich, Dietrich and Barton|31.855562|-91.039592
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|84b68801f314abe7700a9833738f5b76|2023-09-20|23:53:34|1695228814|home|888.74|1|fraud_Beier and Sons|32.046728|-90.115462
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|6ed255d8ed13c411ee9efbada10dd4e3|2023-09-20|22:15:28|1695222928|shopping_net|933.41|1|fraud_Mosciski, Ziemann and Farrell|32.712699|-89.784538
495-74-8823|30592868671496|Angela|Reynolds|F|015 Garcia Cliffs Apt. 842|Terry|MS|39170|32.1147|-90.3241|9407|Media buyer|2001-04-14|204565306396|young_adults_female_urban.json|74f20f3456072f24a51a80de6460dae6|2023-09-20|23:58:48|1695229128|shopping_net|1115.50|1|fraud_Auer-West|32.963893|-89.647607
