ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|e6ba260b72a787aa621364f51a91a8bd|2023-09-17|11:00:56|1694923256|grocery_pos|8.68|1|fraud_Kiehn Inc|31.946423|-82.365891
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|a7b04e39428ee7d35dbdc3d04fccbe92|2023-09-17|03:53:03|1694897583|misc_net|7.37|1|fraud_Jones, Sawayn and Romaguera|31.429307|-82.062770
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|ec12897b70c28779b4016ca71c4d11be|2023-09-17|00:25:35|1694885135|grocery_pos|9.37|1|fraud_Doyle Ltd|31.411163|-83.524030
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|02cf9b247e925178c0f767e69e44e65b|2023-09-17|01:24:34|1694888674|grocery_pos|253.95|1|fraud_Vandervort-Funk|31.205930|-82.493496
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|f805af9a2a7c7807151458505f94ecf6|2023-09-17|00:51:16|1694886676|gas_transport|308.74|1|fraud_Erdman-Kertzmann|32.474089|-83.351987
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|aa79315e1af51c8dbe03f414020ab035|2023-09-17|02:44:33|1694893473|grocery_pos|308.63|1|fraud_Goldner, Kovacek and Abbott|30.671986|-82.873747
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|a073fa004867586322a85016d58295cd|2023-09-17|02:28:39|1694892519|grocery_pos|321.78|1|fraud_Cole PLC|31.503676|-82.790832
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|a1672068cf1bc2f7d9907c40e68b2e7e|2023-09-17|11:25:14|1694924714|gas_transport|314.86|1|fraud_Erdman-Kertzmann|30.946725|-83.958134
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|1051c27b81b96ea8894d9e921994c509|2023-09-17|00:13:26|1694884406|gas_transport|681.96|1|fraud_Friesen-D'Amore|30.743595|-82.388189
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|e9bb2c7d665dba0fe72419e75bc412b6|2023-09-18|19:34:46|1695040486|shopping_net|710.64|1|fraud_Reichert, Rowe and Mraz|30.881991|-82.976996
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|3d6146201594aaaf8c41458fffa0f236|2023-09-17|22:25:11|1694964311|shopping_net|1004.64|1|fraud_Hills-Witting|32.290684|-82.142173
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|235a5dae1c315da1643f50a9032f607f|2023-09-18|23:03:54|1695053034|home|1040.54|1|fraud_Altenwerth-Kilback|31.726702|-82.882450
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|cd5e7c4a5cea6f87c852502614a9ad53|2023-09-18|22:14:00|1695050040|shopping_net|1008.35|1|fraud_Schmidt and Sons|31.209603|-82.171660
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|726627abb0ef60ea3ede67e9701a5017|2023-09-17|22:12:17|1694963537|shopping_net|1069.84|1|fraud_Schmidt and Sons|32.004598|-82.591103
402-18-0753|3582074959624136|Thomas|Thomas|M|123 Justin Springs Apt. 421|Ambrose|GA|31512|31.5367|-82.9976|2248|Make|2000-07-18|161149792441|young_adults_male_rural.json|b859b17f163d19001e9e30d990a97475|2023-09-18|22:16:45|1695050205|shopping_net|994.72|1|fraud_Rempel Inc|31.347992|-83.442473
